Paper,Dataset,dim,N,query_size,label_cnt,query_label,distribution,label_range,query_label_cnt,K,Threads,M,serf_M,nprobe,ef_construction,ef_search,gamma,M_beta,alpha,L,,partition_size_M,beamSize,split_factor,shift_factor,final_beam_multiply,kgraph_L,iter,S,R,B,kgraph_M,weight_search,Recall,QPS,selectivity,ConstructionTime,IndexSize,CompsPerQuery,File,Memory
ACORN,sift1M,128,1000000,10000,1,1,random,8,1,10,128,40,,,1000,400,12.0,64,,,,,,,,,,,,,,,,-1,-1,,123.969,1019.6157360076904,-1,logs/11-20-2024_sift1M_ACORN,
DiskANN,sift1M,128,1000000,10000,1,1,random,8,1,10,128,40,,,,,,,1.2,400,,,,,,,,,,,,,,-1,-1,,20.1437,648.4102954864502,-1,logs/11-20-2024_sift1M_DiskANN,
HNSW,sift1M,128,1000000,10000,1,1,random,8,1,10,128,40,,,1000,400,,,,,,,,,,,,,,,,,,-1,-1,,-1,808.806978225708,-1,logs/11-20-2024_sift1M_HNSW,
iRangeGraph,sift1M,128,1000000,10000,1,1,random,8,1,10,128,,,,1000,400,,,,,,,,,,,,,,,,,,-1,-1,,2764.59,1487.280143737793,-1,logs/11-20-2024_sift1M_iRangeGraph,
IVFPQ,sift1M,128,1000000,10000,1,1,random,8,1,10,128,,,100,,,,,,,,4,,,,,,,,,,,,-1,-1,,303.415,40.25578689575195,-1,logs/11-20-2024_sift1M_IVFPQ,
NHQ_kgraph,sift1M,128,1000000,10000,1,1,random,8,1,10,128,40,,,1000,400,,,,,,,,,,,100,12,10,300,0.4,1,140000.0,-1,-1,,11.1404,70.7696123123169,-1,logs/11-20-2024_sift1M_NHQ_kgraph,
NHQ_nsw,sift1M,128,1000000,10000,1,1,random,8,1,10,128,40,,,1000,400,,,,,,,,,,,,,,,,,,-1,-1,,63.1092,645.637619972229,-1,logs/11-20-2024_sift1M_NHQ_nsw,
RII,sift1M,128,1000000,10000,1,1,random,8,1,10,128,,,,,,,,,,,4,,,,,,,,,,,,-1,-1,,-1,0,-1,logs/11-20-2024_sift1M_RII,
SeRF,sift1M,128,1000000,10000,1,1,random,8,1,10,128,,8,,1000,400,,,,,,,,,,,,,,,,,,0.9885,594.0,,21.117522,183.33124446868896,3016.0,logs/11-20-2024_sift1M_SeRF,
WST_opt,sift1M,128,1000000,10000,1,1,random,8,1,10,128,,,,,,,,,,,,40.0,2,0.5,16,,,,,,,,0.6890500000000007,18190.698781866653,,321.0022292137146,899.1407165527344,10735.2,logs/11-20-2024_sift1M_WST_opt,
DiskANN,sift1M,128,1000000,10000,1,1,random,8,1,10,1,40,,,,,,,1.2,20,,,,,,,,,,,,,,0.4436,7909.97,,-1,648.4102954864502,183.84,logs/11-22-2024_sift1M_DiskANN/summary_DiskANN_sift1M_L20.txt,
DiskANN,sift1M,128,1000000,10000,1,1,random,8,1,10,1,40,,,,,,,1.2,40,,,,,,,,,,,,,,0.5966,5829.58,,-1,648.4102954864502,277.3,logs/11-22-2024_sift1M_DiskANN/summary_DiskANN_sift1M_L40.txt,
DiskANN,sift1M,128,1000000,10000,1,1,random,8,1,10,1,40,,,,,,,1.2,60,,,,,,,,,,,,,,0.6774,3733.58,,-1,648.4102954864502,356.76,logs/11-22-2024_sift1M_DiskANN/summary_DiskANN_sift1M_L60.txt,
DiskANN,sift1M,128,1000000,10000,1,1,random,8,1,10,1,40,,,,,,,1.2,80,,,,,,,,,,,,,,0.7314,2973.34,,-1,648.4102954864502,430.07,logs/11-22-2024_sift1M_DiskANN/summary_DiskANN_sift1M_L80.txt,
DiskANN,sift1M,128,1000000,10000,1,1,random,8,1,10,1,40,,,,,,,1.2,100,,,,,,,,,,,,,,0.7694,2420.04,,-1,648.4102954864502,499.5,logs/11-22-2024_sift1M_DiskANN/summary_DiskANN_sift1M_L100.txt,
DiskANN,sift1M,128,1000000,10000,1,1,random,8,1,10,1,40,,,,,,,1.2,150,,,,,,,,,,,,,,0.8252,1844.91,,-1,648.4102954864502,663.96,logs/11-22-2024_sift1M_DiskANN/summary_DiskANN_sift1M_L150.txt,
DiskANN,sift1M,128,1000000,10000,1,1,random,8,1,10,1,40,,,,,,,1.2,200,,,,,,,,,,,,,,0.8591,1508.5,,-1,648.4102954864502,821.08,logs/11-22-2024_sift1M_DiskANN/summary_DiskANN_sift1M_L200.txt,
